mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
5.27497810,66870.95190430,67092.05837494,4102,42
5.28784766,66796.34268188,67021.22528877,4092,42
5.29430983,66716.17678833,66938.29449271,4087,42
5.29949094,66541.89715576,66890.37533462,4083,42
5.31639412,66510.79498291,66746.76638623,4070,42
5.33603069,66486.20004272,66601.87415613,4055,42
5.33866374,66335.99752808,66554.36108264,4053,42
5.35052881,66137.20608521,66465.76519523,4044,42
5.37175385,66080.19128418,66284.12122388,4028,42
5.39180648,65744.84552002,66107.64537435,4013,42
5.39448955,65683.80017090,66103.74933925,4011,42
5.40525789,65559.41815186,65992.15591284,4003,42
5.40660662,65453.72302246,65983.83376817,4002,42
5.41065640,65442.25234985,65954.30465170,3999,42
5.44738730,65400.97814941,65643.68768231,3972,42
5.46248809,65317.90292358,65579.44824155,3961,42
5.47353417,65311.39318848,65441.76368724,3953,42
5.47491757,65273.22766113,65426.85733714,3952,42
5.47768747,65194.53900146,65394.73943126,3950,42
5.49017962,65026.73355103,65292.89195111,3941,42
5.49993644,65003.20349121,65213.84984315,3934,42
5.50272827,65000.52468872,65210.57494843,3932,42
5.50412419,64965.05718994,65215.23631376,3931,42
5.51674076,64758.54309082,65087.73896626,3922,42
5.51955304,64588.14550781,65053.25526974,3920,42
5.54923480,64576.96002197,64873.88804611,3899,42
5.56063520,64436.12567139,64735.05120895,3891,42
5.57638083,64151.88925171,64593.53601946,3880,42
5.61540057,64019.02313232,64330.10343790,3853,42
5.62561314,63967.49743652,64211.54216846,3846,42
5.64467026,63958.09939575,64047.88093112,3833,42
5.64614037,63830.93945312,64044.33192467,3832,42
5.64761205,63799.01171875,64032.63771136,3831,42
5.65941120,63728.44055176,63965.00572199,3823,42
5.67423953,63635.49407959,63819.90192410,3813,42
5.67572470,63493.06915283,63820.73946726,3812,42
5.69063442,63271.95962524,63694.12954187,3802,42
5.73128551,63249.06179810,63366.36673963,3775,42
5.74039627,63033.07049561,63311.51982848,3769,42
5.75412004,62955.53207397,63195.23347677,3760,42
5.77098267,62810.88183594,63056.00997199,3749,42
5.79258718,62684.56243896,62889.12134188,3735,42
5.80189667,62643.09664917,62816.13922286,3729,42
5.80500453,62580.66226196,62809.03744296,3727,42
5.80655846,62549.89187622,62813.16787083,3726,42
5.81747772,62381.87603760,62698.34662165,3719,42
5.81903938,62357.52883911,62694.57687742,3718,42
5.83943269,62315.15148926,62531.73952926,3705,42
5.84100600,62279.77468872,62528.86697913,3704,42
5.84573645,62230.73336792,62481.69112231,3701,42
5.85996908,62077.73876953,62371.52697047,3692,42
5.87267258,61911.30664062,62323.59603140,3684,42
5.90469479,61776.24298096,62038.62636037,3664,42
5.91921294,61731.52252197,61951.09595590,3655,42
5.92083324,61607.80902100,61921.55349945,3654,42
5.94357908,61438.77719116,61743.92860407,3640,42
5.95828973,61345.98806763,61668.55016245,3631,42
5.98463037,61334.38891602,61455.31584768,3615,42
5.98628637,61061.86538696,61428.81863618,3614,42
6.00287071,61045.97259521,61354.65376535,3604,42
6.00453552,60976.11831665,61332.05576894,3603,42
6.02961315,60775.92941284,61108.54022146,3588,42
6.04812891,60751.29995728,61005.08393892,3577,42
6.06337148,60611.21633911,60865.41414259,3568,42
6.06506759,60587.35104370,60866.81116319,3567,42
6.07527711,60341.65991211,60768.72549427,3561,42
6.11126636,60339.95376587,60566.13019987,3540,42
6.11299348,60216.65151978,60532.40703359,3539,42
6.12336715,60127.51721191,60428.51317949,3533,42
6.13724730,60103.58447266,60329.05806894,3525,42
6.13898810,60070.13989258,60309.00923699,3524,42
6.14944571,59947.77212524,60240.66580733,3518,42
6.16169224,59922.48544312,60145.49136151,3511,42
6.16695468,59901.51763916,60113.64663235,3508,42
6.17926843,59798.85241699,60038.48189452,3501,42
6.18103385,59653.63479614,60012.55235345,3500,42
6.20227376,59572.93548584,59863.71343629,3488,42
6.20405155,59433.07321167,59844.51258149,3487,42
6.23979402,59349.42575073,59634.07575792,3467,42
6.24880077,59341.96768188,59529.21480079,3462,42
6.25963434,59153.50698853,59475.69635830,3456,42
6.28141959,59035.20501709,59324.93838506,3444,42
6.29602929,58967.62823486,59207.47538952,3436,42
6.31622683,58930.33914185,59069.55313245,3425,42
6.31806993,58910.93322754,59051.81247019,3424,42
6.33099677,58630.03244019,58969.68099432,3417,42
6.34769429,58545.81066895,58880.53745046,3408,42
6.37385055,58255.63754272,58678.24013176,3394,42
6.40779862,58222.48828125,58433.07588492,3376,42
6.42490554,58140.24777222,58328.88347112,3367,42
6.43253831,58130.54351807,58284.83115817,3363,42
6.44786129,58066.83798218,58164.38206762,3355,42
6.44978234,57877.70211792,58146.96269704,3354,42
6.47098130,57842.78030396,58004.59327741,3343,42
6.48454406,57672.98342896,57913.99375101,3336,42
6.50597276,57641.13766479,57771.42645857,3325,42
6.50792833,57466.63037109,57757.06993793,3324,42
6.52360659,57459.54904175,57685.44657555,3316,42
6.54727690,57437.43231201,57507.16856183,3304,42
6.54925856,57314.59164429,57484.17365683,3303,42
6.56116308,57184.46853638,57417.57238743,3297,42
6.56912374,57166.10366821,57361.42715157,3293,42
6.57710492,57149.45675659,57306.66310534,3289,42
6.59312507,57078.94161987,57194.60041940,3281,42
6.59513300,56822.47604370,57183.06452994,3280,42
6.64369268,56705.74487305,56866.27000973,3256,42
6.65184809,56684.56063843,56865.79944020,3252,42
6.65594337,56615.60971069,56793.07702992,3250,42
6.66413729,56585.54858398,56737.28538071,3246,42
6.68058494,56542.47155762,56627.32554167,3238,42
6.68470797,56514.03240967,56610.67787832,3236,42
6.68677339,56441.06384277,56588.72078928,3235,42
6.69710955,56416.23812866,56545.29370971,3230,42
6.70333255,56377.45443726,56483.59063841,3227,42
6.70748483,56360.93508911,56458.44839755,3225,42
6.70956363,56244.58029175,56442.59209541,3224,42
6.72832499,55971.22714233,56329.19335181,3215,42
6.76405302,55846.11672974,56101.92055308,3198,42
6.76616772,55637.34561157,56082.05935194,3197,42
6.81300046,55576.75213623,55796.16388184,3175,42
6.81514504,55561.75918579,55779.22398178,3174,42
6.83234840,55441.26278687,55667.38284762,3166,42
6.84746695,55389.79861450,55606.60929039,3159,42
6.84963608,55149.64764404,55571.01686998,3158,42
6.87573770,55024.32049561,55398.43720056,3146,42
6.91305084,54992.42730713,55192.31296869,3129,42
6.92189242,54977.63201904,55126.71287329,3125,42
6.93296860,54689.54110718,55092.50956549,3120,42
6.94631990,54644.54052734,54965.36375964,3114,42
6.97990569,54344.56674194,54768.30241570,3099,42
6.99794707,54230.01296997,54695.32892767,3091,42
7.05495581,54219.73214722,54310.73766726,3066,42
7.06415842,54070.03875732,54280.64742035,3062,42
7.07570467,54054.29360962,54187.82318118,3057,42
7.07801759,53958.06500244,54176.21466779,3056,42
7.11523175,53930.86987305,53959.66993633,3040,42
7.12693588,53799.21884155,53930.41493959,3035,42
7.13163649,53736.94088745,53861.61422339,3033,42
7.13869028,53565.73403931,53822.88080612,3030,42
7.14340134,53547.90127563,53792.81322119,3028,42
7.15756993,53519.65893555,53707.99617400,3022,42
7.17416983,53427.92507935,53616.60030640,3015,42
7.17654920,53223.57070923,53594.47367453,3014,42
7.22926490,53139.25473022,53292.26885973,2992,42
7.23409081,52996.74374390,53297.30609069,2990,42
7.26321694,52970.51373291,53094.57666842,2978,42
7.26565402,52864.44970703,53083.83154317,2977,42
7.28276071,52700.14849854,52988.53680646,2970,42
7.30734142,52681.09466553,52843.51758448,2960,42
7.31227665,52548.59613037,52819.44187456,2958,42
7.32464376,52535.07678223,52759.03902596,2953,42
7.33705690,52513.75012207,52677.74051726,2948,42
7.35700215,52238.92526245,52563.97882402,2940,42
7.39974803,52197.72830200,52325.59391941,2923,42
7.40987449,52181.94784546,52291.87495713,2919,42
7.41241422,52143.85198975,52259.42722757,2918,42
7.42512503,51928.57388306,52191.98710501,2913,42
7.44811321,51890.60339355,52073.36424264,2904,42
7.45837870,51776.40539551,52000.00075400,2900,42
7.49192807,51766.99017334,51837.13750086,2887,42
7.49971615,51555.58331299,51775.71276729,2884,42
7.50231550,51496.94610596,51760.05936994,2883,42
7.53364179,51388.75991821,51599.79194421,2871,42
7.57052309,51335.58074951,51398.71207629,2857,42
7.57847174,51293.42056274,51368.63120837,2854,42
7.58910090,51220.96667480,51291.39683960,2850,42
7.59975469,51214.78268433,51251.95857904,2846,42
7.60241939,51155.38391113,51261.31683168,2845,42
7.61311821,51045.78344727,51171.58035642,2841,42
7.62921626,50975.33953857,51078.42929057,2835,42
7.65619608,50781.60119629,50941.85777314,2825,42
7.66975644,50670.65121460,50878.38976061,2820,42
7.67247708,50599.79122925,50849.08698891,2819,42
7.68609514,50563.55294800,50792.76385024,2814,42
7.70250534,50527.10589600,50689.44660855,2808,42
7.70524646,50411.95178223,50678.80187520,2807,42
7.72724852,50411.68148804,50565.18754281,2799,42
7.73829736,50322.87847900,50501.93385507,2795,42
7.74106420,50230.33456421,50490.07189593,2794,42
7.75492470,50224.92376709,50444.02452898,2789,42
7.76605668,50098.04196167,50360.91566808,2785,42
7.78280902,50045.47595215,50270.78881521,2779,42
7.80244397,49979.98162842,50170.95934304,2772,42
7.81934840,49956.44219971,50115.57999942,2766,42
7.82500649,49953.98684692,50053.66974433,2764,42
7.83350109,49906.05215454,50011.00942999,2761,42
7.83633535,49831.02246094,50006.46157354,2760,42
7.85909332,49820.86779785,49897.53249447,2752,42
7.87052480,49687.79238892,49823.70833929,2748,42
7.89636264,49419.15197754,49692.19656580,2739,42
7.93980521,49396.28713989,49473.13186587,2724,42
7.95439261,49275.81701660,49399.24839175,2719,42
7.96317093,49236.67004395,49355.96467804,2716,42
7.97784437,49176.44128418,49282.73501126,2711,42
7.98667384,49034.45370483,49244.14376586,2708,42
7.99847848,48949.07543945,49179.42454958,2704,42
8.02219102,48938.61581421,49065.55424545,2696,42
8.03409541,48907.38815308,49037.73257227,2692,42
8.04604441,48724.76049805,48952.01333499,2688,42
8.06102587,48681.41235352,48874.79987420,2683,42
