storage_gib,recovery_token_layers,g1,g2,l
9.35233266,57940.56043922,2312,2328,24
9.38473303,57714.55730192,2304,2320,24
9.41725782,57676.13323542,2296,2312,24
9.42083147,57603.28790908,2288,2320,24
9.43761765,57511.04383670,2287,2312,24
9.45014052,57196.99595534,2288,2304,24
9.46709413,57000.17619552,2287,2296,24
9.48183022,56001.72050416,2287,2288,22
9.48187115,54870.43546998,2287,2288,23
9.48202679,53739.15043580,2287,2288,24
9.95122303,53710.27406804,2176,2184,25
9.98787147,53539.58582985,2168,2176,25
10.02476401,53339.38774914,2160,2168,25
10.06195036,53134.71110667,2152,2160,25
10.06339821,52052.14860667,2152,2160,26
10.10088625,51782.00206078,2144,2152,26
10.13866936,51511.55795552,2136,2144,26
10.17672127,51381.44791154,2128,2136,26
10.21501237,51347.04198450,2120,2128,26
10.25358290,51337.71472072,2112,2120,26
10.29246363,51213.32453402,2104,2112,26
10.33165490,51098.36910987,2096,2104,26
10.37117320,50894.65685747,2088,2096,26
10.41099654,50712.65520423,2080,2088,26
10.45112613,50501.74154927,2072,2080,26
10.49154704,50429.91429318,2064,2072,26
10.53225032,50397.28866265,2056,2064,26
10.57329631,50192.33196973,2048,2056,26
10.61464890,50189.09770239,2040,2048,26
10.63967556,50147.03998524,2032,2048,26
10.65318749,49941.11152709,2033,2040,26
10.67085830,49859.16540816,2032,2033,25
10.67106369,48839.31189253,2032,2033,26
10.67111770,47819.45837691,2032,2033,27
11.04733237,47727.39207062,1960,1968,27
11.05745403,47683.87366203,1952,1976,27
11.07492440,47629.26373339,1952,1968,27
11.09253404,47420.12261626,1952,1960,27
11.13810191,47281.76231853,1944,1952,27
11.18403890,47040.24327940,1936,1944,27
11.27698807,46889.36572650,1920,1928,27
11.30923206,46865.48898291,1906,1936,27
11.31649328,46854.86706447,1904,1936,27
11.32407039,46675.77995048,1912,1920,27
11.34578672,46549.18364950,1906,1920,27
11.37156693,46476.17239788,1904,1912,27
11.41474949,46422.43020077,1896,1906,27
11.41707525,45463.96438046,1896,1906,28
11.46958920,45323.61232776,1888,1896,28
11.51828125,45270.96695066,1880,1888,28
11.54398987,45247.98249300,1864,1906,28
11.56739635,45126.36003629,1872,1880,28
11.58228050,45112.59451895,1864,1888,28
11.61693227,45024.19934178,1864,1872,28
11.66461783,45019.78328002,1848,1880,28
11.66686912,45014.93116388,1856,1864,28
11.68036862,44988.84416523,1840,1888,28
11.68202447,44953.41830709,1848,1872,28
11.69957274,44882.59974779,1848,1864,28
11.70893190,44863.36687415,1824,1906,28
11.73256865,44664.99414062,1840,1864,28
11.78187430,44647.66652313,1824,1872,28
11.78349103,44589.50901206,1832,1856,28
11.79942257,44392.13702633,1824,1864,28
11.83497443,44319.26977731,1824,1848,28
11.85299603,44239.66430856,1824,1840,28
11.90245072,44195.40671906,1784,1896,28
11.92099750,44109.08804441,1808,1840,28
11.93914831,44058.06060839,1808,1832,28
11.95422028,43987.64915262,1784,1872,28
11.95751156,43906.59936331,1808,1824,28
11.98945845,43862.23010734,1784,1856,28
12.01040335,43850.94392840,1800,1816,28
12.02534201,43761.14792231,1784,1840,28
12.04349282,43552.93956847,1784,1832,28
12.06185608,43544.48699711,1784,1824,28
12.08032120,43472.72626261,1784,1816,28
12.11779995,43320.72207954,1784,1800,28
12.20333124,43093.38363960,1776,1779,28
12.20354194,42200.99496772,1776,1779,29
12.27640894,42131.04574801,1760,1779,29
12.28349272,42056.81180795,1760,1776,29
12.31338194,41952.26525014,1752,1779,29
12.33939826,41781.05178857,1752,1768,29
12.41507963,41776.39373155,1744,1752,29
12.42625681,41740.30646569,1728,1779,29
12.43340750,41650.93553919,1736,1760,29
12.47167451,41589.14142470,1720,1776,29
12.49060704,41519.35906742,1720,1768,29
12.52902889,41507.39742249,1720,1752,29
12.52980151,41372.84188915,1728,1736,29
12.58796798,41099.06809793,1720,1728,29
12.64663728,41078.73106853,1712,1720,29
12.66564186,41016.35237758,1696,1744,29
12.70512541,40972.43419353,1696,1728,29
12.70542562,40963.67027559,1688,1744,29
12.72514195,40824.29467581,1696,1720,29
12.76492571,40721.76750123,1688,1720,29
12.76569926,40550.23586676,1696,1704,29
12.82610099,40410.26291831,1688,1696,29
12.92755925,40409.30763257,1672,1688,29
12.94850478,40239.08688330,1672,1680,29
12.98944842,40233.62052473,1664,1680,29
13.00989278,40199.15750723,1652,1696,29
13.01063343,40081.57494156,1664,1672,29
13.07279693,40052.74039970,1652,1672,29
13.09373605,39843.94474348,1648,1672,29
13.11511530,39840.15322035,1648,1664,29
13.13668277,39715.09231976,1648,1656,29
13.14881152,39685.10226224,1648,1652,30
13.19339816,39185.41081754,1640,1652,30
13.20309506,38948.40748800,1640,1648,30
13.26765048,38929.71090674,1632,1640,30
13.29369860,38778.89759935,1624,1648,30
13.31319511,38741.18004891,1624,1640,30
13.33001004,38625.06656004,1616,1652,30
13.33289813,38593.11339659,1624,1632,30
13.33970694,38570.12633797,1616,1648,30
13.35920345,38441.75896592,1616,1640,30
13.37646129,38342.96695066,1608,1652,30
13.37890648,38337.02003875,1616,1632,30
13.38615819,38332.12187039,1608,1648,30
13.39882189,38215.58949003,1616,1624,30
13.42535772,38178.64032511,1608,1632,30
13.44527314,38008.81410710,1608,1624,30
13.46539132,37870.51372570,1608,1616,30
13.66888896,37704.75582862,1584,1592,30
13.73812244,37656.13911017,1576,1584,30
13.77419006,37635.86365034,1560,1608,30
13.81535733,37533.64336245,1560,1592,30
13.83629085,37459.87819882,1560,1584,30
13.86518542,37372.21116818,1552,1592,30
13.87874320,37288.32554134,1560,1568,30
13.90723919,37226.39746863,1552,1576,30
13.95016554,37173.85243910,1552,1560,30
13.97578122,37149.26347291,1525,1616,30
13.99609307,37108.03835603,1525,1608,30
14.01656382,37098.20051154,1525,1600,30
